,Path,Prediction,,,
0,0.jpg,Ahri,1,,0.540816327
1,1.jpg,KaiSa,,,
2,10.jpg,Alistar,1,,
3,11.jpg,Amumu,1,,
4,12.jpg,Amumu,1,,
5,13.jpg,Amumu,1,,
6,14.jpg,Annie,1,,
7,15.jpg,Annie,1,,
8,16.jpg,Annie,1,,
9,17.jpg,Ashe,1,,
10,18.jpg,Ashe,1,,
11,19.jpg,Ashe,1,,
12,2.jpg,KaiSa,,,
13,20.jpg,Orianna,,,
14,21.jpg,Blitzcrank,1,,
15,22.jpg,Tryndamere,,,
16,23.jpg,Blitzcrank,,,
17,24.jpg,Singed,,,
18,25.jpg,Corki,1,,
19,26.jpg,Darius,1,,
20,27.jpg,Graves,,,
21,28.jpg,KaiSa,,,
22,29.jpg,Darius,1,,
23,3.jpg,KaiSa,,,
24,30.jpg,Darius,1,,
25,31.jpg,KaiSa,,,
26,32.jpg,Garen,,,
27,33.jpg,KaiSa,,,
28,34.jpg,Sona,,,
29,35.jpg,Vi,,,
30,36.jpg,Diana,1,,
31,37.jpg,Dr,1,,
32,38.jpg,Singed,,,
33,39.jpg,Orianna,,,
34,4.jpg,KaiSa,,,
35,40.jpg,Evelynn,1,,
36,41.jpg,Evelynn,1,,
37,42.jpg,Blitzcrank,,,
38,43.jpg,Rammus,,,
39,44.jpg,Ahri,1,,
40,45.jpg,Jinx,,,
41,46.jpg,Jinx,,,
42,47.jpg,Jinx,,,
43,48.jpg,Kennen,,,
44,49.jpg,Garen,1,,
45,5.jpg,Sona,,,
46,50.jpg,Garen,1,,
47,51.jpg,Garen,1,,
48,52.jpg,Garen,1,,
49,53.jpg,Gragas,1,,
50,54.jpg,Jarvan,1,,
51,55.jpg,Jarvan,1,,
52,56.jpg,KaiSa,,,
53,57.jpg,KaiSa,,,
54,58.jpg,MissFortune,,,
55,59.jpg,Alistar,,,
56,6.jpg,Sona,,,
57,60.jpg,Jarvan,1,,
58,61.jpg,Jarvan,1,,
59,62.jpg,Jarvan,1,,
60,63.jpg,Blitzcrank,,,
61,64.jpg,Singed,,,
62,65.jpg,Amumu,,,
63,66.jpg,Jinx,1,,
64,67.jpg,Master,1,,
65,68.jpg,Vi,,,
66,69.jpg,KaiSa,,,
67,7.jpg,Akali,1,,
68,70.jpg,Jinx,1,,
69,71.jpg,Jinx,1,,
70,72.jpg,Lux,,,
71,73.jpg,KaiSa,,,
72,74.jpg,Seraphine,,,
73,75.jpg,Jinx,1,,
74,76.jpg,Jinx,1,,
75,77.jpg,Lux,1,,
76,78.jpg,Jinx,1,,
77,79.jpg,Jinx,1,,
78,8.jpg,KaiSa,,,
79,80.jpg,Jinx,1,,
80,81.jpg,Jinx,1,,
81,82.jpg,Blitzcrank,,,
82,83.jpg,KaiSa,1,,
83,84.jpg,Evelynn,,,
84,85.jpg,Katarina,1,,
85,86.jpg,Katarina,1,,
86,87.jpg,KhaZix,,,
87,88.jpg,LeeSin,1,,
88,89.jpg,LeeSin,1,,
89,9.jpg,Singed,,,
90,90.jpg,Annie,,,
91,91.jpg,Seraphine,,,
92,92.jpg,Vi,,,
93,93.jpg,Lux,1,,
94,94.jpg,Lux,1,,
95,95.jpg,Master,1,,
96,96.jpg,MissFortune,1,,
97,97.jpg,MissFortune,1,,
